CountryCode,CountryName,ProjYear,PovertyLine,HeadCount,CoverageType
AFG,Afghanistan,2008,1.9,0.726527872037943,N
AFG,Afghanistan,2008,1.994779514,0.756540332873883,N
AFG,Afghanistan,2008,3.2,0.932174347080639,N
AFG,Afghanistan,2008,5.5,0.984165624443424,N
AFG,Afghanistan,2008,16.50903858,0.998849350013904,N
AFG,Afghanistan,2010,1.9,0.555626848640305,N
AFG,Afghanistan,2010,2.137507976,0.644209730867056,N
AFG,Afghanistan,2010,3.2,0.868385499505947,N
AFG,Afghanistan,2010,5.5,0.970544993352662,N
AFG,Afghanistan,2010,17.4555425,0.998241713474819,N
AFG,Afghanistan,2011,1.9,0.515848945352478,N
AFG,Afghanistan,2011,2.280773976,0.653664590087188,N
AFG,Afghanistan,2011,3.2,0.848405509370098,N
AFG,Afghanistan,2011,5.5,0.96614378935859,N
AFG,Afghanistan,2011,17.81334964,0.998108197657596,N
AFG,Afghanistan,2012,1.9,0.42960695177502,N
AFG,Afghanistan,2012,2.36253841,0.594814370725696,N
AFG,Afghanistan,2012,3.2,0.794851989420503,N
AFG,Afghanistan,2012,5.5,0.953705715855629,N
AFG,Afghanistan,2012,18.36542926,0.997700070027969,N
AFG,Afghanistan,2013,1.9,0.407215884759684,N
AFG,Afghanistan,2013,2.509693168,0.614958595805,N
AFG,Afghanistan,2013,3.2,0.776617118681722,N
AFG,Afghanistan,2013,5.5,0.94919933294292,N
AFG,Afghanistan,2013,18.79714975,0.997643800267248,N
AFG,Afghanistan,2015,1.9,0.389546492438868,N
AFG,Afghanistan,2015,2.668833214,0.643793036436733,N
AFG,Afghanistan,2015,3.2,0.763832800167063,N
AFG,Afghanistan,2015,5.5,0.94594213023852,N
AFG,Afghanistan,2015,19.46453494,0.997711034652769,N
AFG,Afghanistan,2018,,,N
AFG,Afghanistan,2018,1.9,0.354264889711385,N
AFG,Afghanistan,2018,2.877820132,0.66076382559514,N
AFG,Afghanistan,2018,3.2,0.732385176052737,N
AFG,Afghanistan,2018,5.5,0.937545484831982,N
AFG,Afghanistan,2019,,,N
AFG,Afghanistan,2019,1.9,0.332538153123695,N
AFG,Afghanistan,2019,2.913124478,0.64543126541381,N
AFG,Afghanistan,2019,3.2,0.710781182564844,N
AFG,Afghanistan,2019,5.5,0.931422992077663,N
AFG,Afghanistan,2020,,,N
AFG,Afghanistan,2020,1.9,0.361596003379814,N
AFG,Afghanistan,2020,2.879716786,0.669054333750821,N
AFG,Afghanistan,2020,3.2,0.739273040499562,N
AFG,Afghanistan,2020,5.5,0.939434397501307,N
AFG,Afghanistan,2021,,,N
AFG,Afghanistan,2021,1.9,0.33911253069412,N
AFG,Afghanistan,2021,2.947927508,0.661385643737944,N
AFG,Afghanistan,2021,3.2,0.717513069002618,N
AFG,Afghanistan,2021,5.5,0.93336410807307,N
AFG,Afghanistan,2022,,,N
AFG,Afghanistan,2022,1.9,0.314822207684365,N
AFG,Afghanistan,2022,3.2,0.691745932388901,N
AFG,Afghanistan,2022,5.5,0.925760131783058,N
AFG,Afghanistan,2023,,,N
AFG,Afghanistan,2023,1.9,0.29185591237589,N
AFG,Afghanistan,2023,3.2,0.664975178253247,N
AFG,Afghanistan,2023,5.5,0.917323462426471,N
AFG,Afghanistan,2024,,,N
AFG,Afghanistan,2024,1.9,0.272395250369873,N
AFG,Afghanistan,2024,3.2,0.640256442908321,N
AFG,Afghanistan,2024,5.5,0.908987071316694,N
AFG,Afghanistan,2025,,,N
AFG,Afghanistan,2025,1.9,0.253916558363468,N
AFG,Afghanistan,2025,3.2,0.614885052781077,N
AFG,Afghanistan,2025,5.5,0.899817734016083,N
ERI,Eritrea,2008,1.9,0.487776189957819,N
ERI,Eritrea,2008,1.994779514,0.506912851644335,N
ERI,Eritrea,2008,3.2,0.708249055046692,N
ERI,Eritrea,2008,5.5,0.906089142550544,N
ERI,Eritrea,2008,16.50903858,0.9998155982021,N
ERI,Eritrea,2010,1.9,0.467901885823585,N
ERI,Eritrea,2010,2.137507976,0.513726755408278,N
ERI,Eritrea,2010,3.2,0.685867311541491,N
ERI,Eritrea,2010,5.5,0.891210926801504,N
ERI,Eritrea,2010,17.4555425,0.999819551413416,N
ERI,Eritrea,2011,1.9,0.44123497751979,N
ERI,Eritrea,2011,2.280773976,0.510554711446194,N
ERI,Eritrea,2011,3.2,0.654268039443838,N
